work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2024,SE,FT,Security Analyst,120750,USD,120750,DE,0,DE,M
2024,SE,FT,Security Analyst,101566,USD,101566,DE,0,DE,M
2024,EN,FT,Security Analyst,81527,USD,81527,CA,0,CA,M
2024,EN,FT,Security Analyst,69298,USD,69298,CA,0,CA,M
2024,SE,FT,Security Analyst,148000,USD,148000,US,0,US,M
2024,SE,FT,Security Analyst,98000,USD,98000,US,0,US,M
2024,EN,FT,Cyber Intelligence Analyst,106000,USD,106000,US,0,US,M
2024,EN,FT,Cyber Intelligence Analyst,66000,USD,66000,US,0,US,M
2024,SE,FT,Cyber Security,181400,USD,181400,RW,100,RW,M
2024,SE,FT,Cyber Security,110700,USD,110700,RW,100,RW,M
2024,SE,FT,Consultant,216300,USD,216300,US,0,US,M
2024,SE,FT,Consultant,103800,USD,103800,US,0,US,M
2024,SE,FT,Manager,299100,USD,299100,US,0,US,M
2024,SE,FT,Manager,143500,USD,143500,US,0,US,M
2024,SE,FT,Manager,245700,USD,245700,US,0,US,M
2024,SE,FT,Manager,118700,USD,118700,US,0,US,M
2024,SE,FT,Security Engineer,167785,USD,167785,US,0,US,M
2024,SE,FT,Security Engineer,140899,USD,140899,US,0,US,M
2024,MI,FT,Security Engineer,146875,USD,146875,US,0,US,M
2024,MI,FT,Security Engineer,81250,USD,81250,US,0,US,M
2024,MI,FT,Reverse Engineer,154000,USD,154000,US,0,US,M
2024,MI,FT,Reverse Engineer,67600,USD,67600,US,0,US,M
2024,MI,FT,Information Security Manager,251600,USD,251600,US,0,US,M
2024,MI,FT,Information Security Manager,120100,USD,120100,US,0,US,M
2024,SE,FT,SOC Manager,220900,USD,220900,US,0,US,M
2024,SE,FT,SOC Manager,122200,USD,122200,US,0,US,M
2024,MI,FT,Cyber Network Defense Analyst,117500,USD,117500,US,0,US,M
2024,MI,FT,Cyber Network Defense Analyst,65000,USD,65000,US,0,US,M
2024,SE,FT,Information Security Specialist,172000,USD,172000,US,0,US,M
2024,SE,FT,Information Security Specialist,75600,USD,75600,US,0,US,M
2024,SE,FT,Information Security Officer,206100,USD,206100,US,0,US,M
2024,SE,FT,Information Security Officer,141700,USD,141700,US,0,US,M
2024,SE,FT,Security Engineer,230000,USD,230000,US,0,US,M
2024,SE,FT,Security Engineer,90000,USD,90000,US,0,US,M
2024,SE,FT,Site Reliability Engineer,234240,USD,234240,US,0,US,M
2024,SE,FT,Site Reliability Engineer,156160,USD,156160,US,0,US,M
2024,SE,FT,Cyber Security,132784,USD,132784,CA,100,CA,M
2024,SE,FT,Cyber Security,84981,USD,84981,CA,100,CA,M
2024,MI,FT,Systems Engineer,120000,USD,120000,US,100,US,M
2024,MI,FT,Systems Engineer,92000,USD,92000,US,100,US,M
2024,MI,FT,Software Engineer,193000,USD,193000,US,0,US,M
2024,MI,FT,Software Engineer,84600,USD,84600,US,0,US,M
2024,MI,FT,Systems Engineer,115000,USD,115000,DE,0,DE,M
2024,MI,FT,Systems Engineer,85000,USD,85000,DE,0,DE,M
2024,MI,FT,Systems Administrator,157450,USD,157450,US,0,US,M
2024,MI,FT,Systems Administrator,87100,USD,87100,US,0,US,M
2024,SE,FT,Security Engineer,224700,USD,224700,US,0,US,M
2024,SE,FT,Security Engineer,134700,USD,134700,US,0,US,M
2024,SE,FT,Security Engineer,163000,USD,163000,US,0,US,M
2024,SE,FT,Security Engineer,77000,USD,77000,US,0,US,M
2024,SE,FT,Manager,171210,USD,171210,CA,0,CA,M
2024,SE,FT,Manager,92190,USD,92190,CA,0,CA,M
2024,SE,FT,Security Engineer,200000,USD,200000,US,0,US,M
2024,SE,FT,Security Engineer,96000,USD,96000,US,0,US,M
2024,SE,FT,Security Engineer,165759,USD,165759,US,0,US,M
2024,SE,FT,Security Engineer,120552,USD,120552,US,0,US,M
2024,SE,FT,Reverse Engineer,221000,USD,221000,US,0,US,M
